Date,Open,Energy,Financial Services,Technology,Real Estate,Communication Services,Utilities,Consumer Staples,Healthcare,Basic Materials
2020-01-21,29269.05078125,58.790000915527344,30.8799991607666,96.81999969482422,39.599998474121094,56.58000183105469,66.91000366210938,63.72999954223633,104.25,60.720001220703125
2020-01-22,29263.630859375,57.95000076293945,30.8700008392334,97.69000244140625,40.099998474121094,56.869998931884766,67.5,64.05999755859375,104.83000183105469,60.61000061035156
2020-01-23,29111.01953125,56.900001525878906,30.700000762939453,97.52999877929688,39.689998626708984,56.5,67.56999969482422,63.880001068115234,104.55000305175781,59.7599983215332
2020-01-24,29230.390625,57.02000045776367,30.790000915527344,98.61000061035156,40.130001068115234,56.5099983215332,68.0,64.08000183105469,104.31999969482422,60.2599983215332
2020-01-27,28542.490234375,55.47999954223633,29.790000915527344,95.16000366210938,39.75,54.650001525878906,68.31999969482422,63.04999923706055,101.22000122070312,58.68000030517578
2020-01-28,28594.279296875,55.36000061035156,30.079999923706055,95.94000244140625,39.869998931884766,55.16999816894531,68.26000213623047,63.43000030517578,101.9800033569336,58.7400016784668
2020-01-29,28820.529296875,55.61000061035156,30.3700008392334,97.7300033569336,40.04999923706055,55.7599983215332,68.51000213623047,63.52000045776367,102.27999877929688,59.310001373291016
2020-01-30,28640.16015625,54.150001525878906,29.950000762939453,97.13999938964844,39.58000183105469,54.11000061035156,68.61000061035156,63.18000030517578,101.1500015258789,58.52000045776367
2020-01-31,28813.0390625,54.22999954223633,30.34000015258789,97.44999694824219,39.70000076293945,54.79999923706055,69.16000366210938,63.93000030517578,100.76000213623047,58.38999938964844
2020-02-03,28319.650390625,53.369998931884766,30.170000076293945,95.44000244140625,39.38999938964844,54.349998474121094,69.08999633789062,63.40999984741211,99.83000183105469,57.849998474121094
2020-02-04,28696.740234375,53.5,30.579999923706055,98.2699966430664,39.40999984741211,54.77000045776367,69.16000366210938,63.68000030517578,101.29000091552734,59.560001373291016
2020-02-05,29048.73046875,53.810001373291016,30.8700008392334,100.75,39.81999969482422,55.599998474121094,68.36000061035156,63.77000045776367,102.27999877929688,60.400001525878906
