Date,Open
2020-01-21,29269.05078125
2020-01-22,29263.630859375
2020-01-23,29111.01953125
2020-01-24,29230.390625
2020-01-27,28542.490234375
2020-01-28,28594.279296875
2020-01-29,28820.529296875
2020-01-30,28640.16015625
2020-01-31,28813.0390625
2020-02-03,28319.650390625
2020-02-04,28696.740234375
2020-02-05,29048.73046875
2020-02-06,29388.580078125
2020-02-07,29286.919921875
2020-02-10,28995.66015625
2020-02-11,29390.7109375
2020-02-12,29406.75
2020-02-13,29436.029296875
2020-02-14,29440.470703125
2020-02-18,29282.779296875
2020-02-19,29312.69921875
2020-02-20,29296.25
2020-02-21,29146.529296875
2020-02-24,28402.9296875
2020-02-25,28037.650390625
2020-02-26,27159.4609375
2020-02-27,26526.0
2020-02-28,25270.830078125
2020-03-02,25590.509765625
2020-03-03,26762.470703125
2020-03-04,26383.6796875
2020-03-05,26671.919921875
2020-03-06,25457.2109375
2020-03-09,24992.359375
2020-03-10,24453.0
2020-03-11,24604.630859375
2020-03-12,22184.7109375
2020-03-13,21973.8203125
2020-03-16,20917.529296875
2020-03-17,20487.05078125
2020-03-18,20188.689453125
2020-03-19,19830.009765625
2020-03-20,20253.150390625
2020-03-23,19028.359375
2020-03-24,19722.189453125
2020-03-25,21050.33984375
2020-03-26,21468.380859375
2020-03-27,21898.470703125
2020-03-30,21678.220703125
2020-03-31,22208.419921875
2020-04-01,21227.380859375
2020-04-02,20819.4609375
2020-04-03,21285.9296875
2020-04-06,21693.630859375
2020-04-07,23537.439453125
2020-04-08,22893.470703125
2020-04-09,23690.66015625
2020-04-13,23698.9296875
2020-04-14,23690.5703125
2020-04-15,23600.720703125
2020-04-16,23543.66015625
2020-04-17,23817.150390625
2020-04-20,24095.099609375
2020-04-21,23365.25
2020-04-22,23437.33984375
2020-04-23,23543.08984375
2020-04-24,23628.240234375
2020-04-27,23866.150390625
2020-04-28,24357.169921875
2020-04-29,24490.369140625
2020-04-30,24585.5703125
2020-05-01,24120.779296875
2020-05-04,23581.55078125
2020-05-05,23958.880859375
2020-05-06,23978.880859375
2020-05-07,23837.2109375
2020-05-08,24107.8203125
2020-05-11,24256.44921875
2020-05-12,24292.83984375
2020-05-13,23702.16015625
2020-05-14,23049.060546875
2020-05-15,23454.830078125
2020-05-18,24059.98046875
2020-05-19,24577.48046875
2020-05-20,24455.939453125
2020-05-21,24564.26953125
2020-05-22,24461.98046875
2020-05-26,24781.83984375
2020-05-27,25298.630859375
2020-05-28,25697.359375
2020-05-29,25324.150390625
2020-06-01,25342.990234375
2020-06-02,25582.51953125
2020-06-03,25906.880859375
2020-06-04,26226.490234375
2020-06-05,26836.80078125
2020-06-08,27232.9296875
2020-06-09,27447.369140625
2020-06-10,27251.890625
2020-06-11,26282.509765625
2020-06-12,25659.419921875
2020-06-15,25270.390625
2020-06-16,26326.6796875
2020-06-17,26330.51953125
2020-06-18,26016.44921875
2020-06-19,26213.099609375
2020-06-22,25865.080078125
2020-06-23,26159.390625
2020-06-24,25992.9609375
2020-06-25,25365.220703125
2020-06-26,25641.689453125
2020-06-29,25152.44921875
2020-06-30,25512.4296875
2020-07-01,25879.380859375
